folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Treatment,C1YR_RESAI,Residual AI at 1 Year,,numeric,number of events per hour,,,,,
Sleep Treatment,C2YR_ADJ_HOURS,Adjusted CPAP hours at 2 years (CPAP hours/night x Percentage of CPAP days/Follow-up days),,numeric,hours per night,,,,,
Sleep Treatment,C2YR_C_95PER,95% CPAP pressure at 2 year follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C2YR_C_H_NIGHT,CPAP hours per CPAP nights at 2 year follow-up,,numeric,hours per night,,,,,
Sleep Treatment,C2YR_C_MEDIAN,Median CPAP pressure at 2 year follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C2YR_HUM,Indicator for if humidifier is added at 2 year follow-up,,numeric,,,,,,
Sleep Treatment,C2YR_MASK,CPAP Mask Type at 2-year follow up,,choices,,mask_type,,,,
Sleep Treatment,C2YR_MASKLEAK,Median leak at 2 year follow-up,,numeric,liters per minute,,,,,
Sleep Treatment,C2YR_PERC,Percentage of CPAP days/Follow-up days at 2 year follow-up,,numeric,percent (%),,,,,
Sleep Treatment,C2YR_RAMP,Ramp time at 2 years,,numeric,minutes (min),,,,,
Sleep Treatment,C2YR_RESAHI,Residual AHI at 2 year follow-up,,numeric,number of events per hour,,,,,
Sleep Treatment,C3M_C_95PER,95% CPAP pressure at 3 month follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C3M_C_H_NIGHT,CPAP hours per CPAP nights at 3 months follow-up,,numeric,hours per night,,,,,
Sleep Treatment,C3M_C_MEDIAN,Median CPAP pressure at 3 month follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C3M_C_TOTAL,Total days patient used CPAP machine at 3 months,,numeric,days,,,,,
Sleep Treatment,C3M_CPAPD,Total CPAP use-days to 3 month follow-up,,numeric,days,,,,,
Sleep Treatment,C3M_DAYS,Total days to 3 month follow-up,,numeric,days,,,,,
Sleep Treatment,C3M_HUM,Indicator for if humidifier is added at 3 months,,numeric,,yes_no,,,,
Sleep Treatment,C3M_MASK,CPAP Mask Type at 3 months,,choices,,mask_type,,,,
Sleep Treatment,C3M_PERC,Percentage of CPAP days/Follow-up days at 3 months,,numeric,percent (%),,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,C3M_RESAHI,Residual AHI at 3 month follow-up,,numeric,number of events per hour,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,C3M_RESAI,Residual AI 3 Months,,numeric,number of events per hour,,,,,
Sleep Treatment,C3YR_ADJ_HOURS,Adjusted CPAP hours at 3-year follow-up (CPAP hours/night x Percentage of CPAP days/Follow-up days),,numeric,hours per night,,,,,
Sleep Treatment,C3YR_C_95PER,95% CPAP pressure at 3-year follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C3YR_C_H_NIGHT,CPAP hours per CPAP nights at 3 year follow-up,,numeric,hours per night,,,,,
Sleep Treatment,C3YR_C_MEDIAN,Median CPAP pressure at 3-year follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C3YR_HUM,Indicator for if humidifier is added at 3-year follow up,,numeric,,,,,,
Sleep Treatment,C3YR_MASK,CPAP Mask Type at 3-year follow-up,,choices,,mask_type,,,,
Sleep Treatment,C3YR_MASKLEAK,Median leak at 3-year follow-up,,numeric,liters per minute,,,,,
Sleep Treatment,C3YR_PERC,Percentage of CPAP days/Follow-up days at 3-year follow-up,,numeric,percent (%),,,,,
Sleep Treatment,C3YR_RAMP,Ramp time at 3-year follow-up,,numeric,minutes (min),,,,,
Sleep Treatment,C3YR_RESAHI,Residual AHI at 3-year follow-up,,numeric,number of events per hour,,,,,
Sleep Treatment,C4YR_ADJ_HOURS,Adjusted CPAP hours at 4-year follow-up (CPAP hours/night x Percentage of CPAP days/Follow-up days),,numeric,hours per night,,,,,
Sleep Treatment,C4YR_C_95PER,95% CPAP pressure at 4-year follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C4YR_C_H_NIGHT,CPAP hours per CPAP nights at 4 year follow-up,,numeric,hours per night,,,,,
Sleep Treatment,C4YR_C_MEDIAN,Median CPAP pressure at 4-year follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C4YR_HUM,Indicator for if humidifier is added at 4-year follow-up,,choices,,yes_no,,,,
Sleep Treatment,C4YR_MASK,CPAP Mask Type at 4-year follow-up,,choices,,mask_type,,,,
Sleep Treatment,C4YR_MASKLEAK,Median leak at 4-year follow-up,,numeric,liters per minute,,,,,
Sleep Treatment,C4YR_PERC,Percentage of CPAP days/Follow-up days at 4-year follow-up,,numeric,percent (%),,,,,
Sleep Treatment,C4YR_RAMP,Ramp time at 4-year follow-up,,numeric,minutes (min),,,,,
Sleep Treatment,C4YR_RESAHI,Residual AHI  at 4-year follow-up,,numeric,number of events per hour,,,,,
Sleep Treatment,C5YR_ADJ_HOURS,Adjusted CPAP hours at 5-year follow-up (CPAP hours/night x Percentage of CPAP days/Follow-up days),,numeric,hours per night,,,,,
Sleep Treatment,C5YR_C_95PER,95% CPAP pressure at 5-year follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C5YR_C_H_NIGHT,CPAP hours per CPAP nights at 5 year follow-up,,numeric,hours per night,,,,,
Sleep Treatment,C5YR_C_MEDIAN,Median CPAP pressure at 5-year follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C5YR_HUM,Indicator for if humidifier is added at 5-year follow-up,,choices,,yes_no,,,,
Sleep Treatment,C5YR_MASK,CPAP Mask Type at 4-year follow-up,,choices,,mask_type,,,,
Sleep Treatment,C5YR_MASKLEAK,Median leak at 5-year follow-up,,numeric,liters per minute,,,,,
Sleep Treatment,C5YR_PERC,Percentage of CPAP days/Follow-up days at 5-year follow-up,,numeric,percent (%),,,,,
Sleep Treatment,C5YR_RAMP,Ramp time at 5-year follow-up,,numeric,minutes (min),,,,,
Sleep Treatment,C5YR_RESAHI,Residual AHI  at 5-year follow-up,,numeric,number of events per hour,,,,,
Sleep Treatment,C6M_C_95PER,95% CPAP pressure at 6 month follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C6M_C_H_NIGHT,CPAP hours per CPAP nights at 6 months follow-up,,numeric,hours per night,,,,,
Sleep Treatment,C6M_C_MEDIAN,Median CPAP pressure at 6 month follow-up,,numeric,centimeters of water (cmH2O),,,,,
Sleep Treatment,C6M_C_TOTAL,Total days patient used CPAP machine at 6 months,,numeric,,,,,,
Sleep Treatment,C6M_COMPL_HOURS,Adjusted CPAP hours at 6 months (CPAP hours/night x Percentage of CPAP days/Follow-up days),,numeric,hours (hr),,,,,
Sleep Treatment,C6M_CPAPD,Total CPAP use-days to 6 month follow-up,,numeric,days,,,,,
Sleep Treatment,C6M_DAYS,Total days to 6 month follow-up,,numeric,days,,,,,
Sleep Treatment,C6M_HUM,Indicator for if humidifier is added at 6 months,,numeric,,yes_no,,,,
Sleep Treatment,C6M_MASK,CPAP Mask Type at 6 months,,choices,,mask_type,,,,
Sleep Treatment,C6M_PERC,Percentage of CPAP days/Follow-up days at 6 months,,numeric,percent,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,C6M_RESAHI,Residual AHI at 6 month follow-up,,numeric,number of events per hour,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,C6M_RESAI,Residual AI 3 Months,,numeric,number of events per hour,,,,,
Sleep Treatment,C6YR_ADJ_HOURS,Adjusted CPAP hours at 6-year follow-up (CPAP hours/night x Percentage of CPAP days/Follow-up days),,numeric,hours per night,,,,,
Sleep Treatment,C6YR_C_95PER,95% CPAP pressure at 6-year follow-up,,numeric,centimeters of water (centimeters of water (cmH2O)),,,,,
Sleep Treatment,C6YR_C_H_NIGHT,CPAP hours per CPAP nights at 5 year follow-up,,numeric,hours per night,,,,,
Sleep Treatment,C6YR_C_MEDIAN,Median CPAP pressure at 6-year follow-up,,numeric,centimeters of water (centimeters of water (cmH2O)),,,,,
Sleep Treatment,C6YR_HUM,Indicator for if humidifier is added at 6-year follow-up,,numeric,,yes_no,,,,
Sleep Treatment,C6YR_MASK,Median leak at 6-year follow-up,,choices,,mask_type,,,,
Sleep Treatment,C6YR_MASKLEAK,Median leak at 6-year follow-up,,numeric,liters per minute,,,,,
Sleep Treatment,C6YR_PERC,Percentage of CPAP days/Follow-up days at 6-years follow-up,,numeric,percent (%),,,,,
Sleep Treatment,C6YR_RAMP,ramp time at 6-year follow-up,,numeric,minutes (min),,,,,
Sleep Treatment,C6YR_RESAHI,Residual AHI at 6-year follow-up,,numeric,number of events per hour,,,,,
Adverse Events,CAUSE_OF_DEATH,Cause of death,,text,,,,,,
Physiologic Measurements,CHOLEST2,Total Cholesterol Visit 2 (3 month follow-up),,numeric,millimoles per liter (mmol/L),,,,,
Physiologic Measurements,CHOLEST3,Total Cholesterol Visit 3 (1 year follow-up),,numeric,millimoles per liter (mmol/L),,,,,
Medical History,CHRONIC_AF,Chronic atrial fibrilation,,choices,,yes_no,,,,
Adverse Events,COMPOSITE01,"Composite endpoint 1 - Has any of the following: new revascularization, acute myocardinal infarction, stroke and cardiovascular mortality",,choices,,yes_no,,,,
Adverse Events,COMPOSITE02,"Composite endpoint 2 - Has any of the following: new revascularization, acute myocardinal infarction, stroke, cardiovascular mortality , mortality and acute cardiovascular hospitalization",,choices,,yes_no,,,,
Administrative,CPAP_1M,CPAP control date after 1 month,,date,,,,,,
Administrative,CPAP_1YR,CPAP control date after 1 year,,date,,,,,,
Administrative,CPAP_2YR,CPAP control date after 2 years,,date,,,,,,
Sleep Treatment,CPAP_3HOURS_1YR,Grouping participants based on CPAP usage measured at 1-year follow-up. Cut-off is 3 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_3HOURS_2YR,Grouping participants based on CPAP usage measured at 2-year follow-up. Cut-off is 3 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_3HOURS_3M,Grouping participants based on CPAP usage measured at 3-month follow-up. Cut-off is 3 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_3HOURS_3YR,Grouping participants based on CPAP usage measured at 3-year follow-up. Cut-off is 3 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_3HOURS_4YR,Grouping participants based on CPAP usage measured at 4-year follow-up. Cut-off is 3 hours usage,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_3HOURS_5YR,Grouping participants based on CPAP usage measured at 5-year follow-up. Cut-off is 3 hours usage,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_3HOURS_6YR,Grouping participants based on CPAP usage measured at 6-year follow-up. Cut-off is 3 hours usage,,choices,,CPAP_USAGE,,,,
Administrative,CPAP_3M,CPAP control date after 3 months,,date,,,,,,
Administrative,CPAP_3YR,CPAP control date after 3 years,,date,,,,,,
Sleep Treatment,CPAP_4HOURS_1YR,Grouping participants based on CPAP usage measured at 1-year follow-up. Cut-off is 4 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_4HOURS_2YR,Grouping participants based on CPAP usage measured at 2-year follow-up. Cut-off is 4 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_4HOURS_3YR,Grouping participants based on CPAP usage measured at 3-year follow-up. Cut-off is 4 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_4HOURS_4YR,Grouping participants based on CPAP usage measured at 4-year follow-up. Cut-off is 4 hours usage,,choices,,CPAP_USAGE,,,,
