folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Anthropometry,abdomobes,"Whether a patient has abdominal obesity (WHR>=0.9 men, >=0.8 women) or not at Visit 1 (baseline)","",choices,"",yes_no,"","","",""
Anthropometry,bmi,Body Mass Index at Visit 1 (baseline),"",numeric,kilograms per meter squared (kg/m2),"",bmi,weight/(lengthxlength)x10000,"",""
Anthropometry,bmi_1yr,BMI at  1-year follow-up,"",numeric,kilograms per meter squared (kg/m2),"","","","",""
Anthropometry,bmi_3m,BMI at  3-month follow-up,"",numeric,kilograms per meter squared (kg/m2),"","","","",""
Anthropometry,hip,Hip circumference at Visit 1 (baseline),"",numeric,centimeters (cm),"","","","",""
Anthropometry,hip_1yr,Hip measurement at 1-year follow-up,"",numeric,centimeters (cm),"","","","",""
Anthropometry,hip_3m,Hip measurement at 3-month follow-up,"",numeric,centimeters (cm),"","","","",""
Anthropometry,l_1yr,Height (cm) at  1 Year,"",numeric,centimeters (cm),"","","","",""
Anthropometry,l_3m,Height (cm) at 3 Months,"",numeric,centimeters (cm),"","","","",""
Anthropometry,obesity,Whether a patient is classified as obese (BMI>=30) or not,"",choices,"",yes_no,"","","",""
Anthropometry,waist,Waist circumference at Visit 1 (baseline),"",numeric,centimeters (cm),"","","","",""
Anthropometry,waist_1yr,Waist measurement at 1-year follow-up,"",numeric,centimeters (cm),"","","","",""
Anthropometry,waist_3m,Waist measurement at 3-month follow-up,"",numeric,centimeters (cm),"","","","",""
Anthropometry,weight_1yr,Weight (kg) at 1 Year,"",numeric,kilograms (kg),"","","","",""
Anthropometry,weight_3m,Weight (kg) at 3 Months,"",numeric,kilograms (kg),"","","","",""
Anthropometry,whr,Waist-Hip Ratio at Visit 1 (baseline),"",numeric,"","","","","",""
Clinical Data/Vital Signs/Seated Blood Pressure,dbp_3m,Diastolic blood pressure at 3-month follow-up,"",numeric,millimeters of mercury (mmHg),"",bp_diastolic,"","",""
Clinical Data/Vital Signs/Seated Blood Pressure,sbp_3m,Systolic blood pressure at 3-month follow-up,"",numeric,millimeters of mercury (mmHg),"",bp_systolic,"","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Anxiety,v1anxtotal_1,Total anxiety score at Visit 1 (baseline),"",numeric,"","","","","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Anxiety,v2anxtotal_1,Total anxiety score at Visit 2 (3-month follow-up),"",numeric,"","","","","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Anxiety,v3anxtotal_1,Total anxiety score at Visit 3 (1-year follow-up),"",numeric,"","","","","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression,v1depressed,Indicator of depression (DEPRSCORE >= 50) at Visit 1 (baseline),"",choices,"",yes_no,"","","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression,v1deprscore,Depression score at Visit 1 (baseline),"",numeric,"","","","","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression,v2depressed,Indicator of depression (DEPRSCORE >= 50) at Visit 2 (3-month follow-up),"",choices,"",yes_no,"","","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression,v2deprscore,Depression score at Visit 2 (3-month follow-up),"",numeric,"","","","","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression,v3depressed,Indicator of depression (DEPRSCORE >= 50) at Visit 3 (1-year follow-up),"",choices,"",yes_no,"","","",""
General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression,v3deprscore,Depression score at Visit 3 (1-year follow-up),"",numeric,"","","","","",""
Lifestyle and Behavioral Health,currentsmoker,Whether a patient is currently smoking at baseline or not,"",choices,"",smoke_current,smoking,"","",""
Lifestyle and Behavioral Health,smoke,Smoking Status at baseline,"",choices,"",smoke_status,smoking,"","",""
Lifestyle and Behavioral Health,smokinghistory_comments,Additional comments about smoking history,"",text,"","",smoking,"","",""
Lifestyle and Behavioral Health,v3_currentsmoker,Whether a patient is currently smoking at time of Visit 3 (1-year follow up) or not,"",choices,"",smoke_current,smoking,"","",""
Medical History/Medications,v1_aceinh,Whether the patient is using Angiotensin Converting Enzyme inhibitors at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v1_asa,Whether the patient is using Aspirin at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v1_at2ant,Whether the patient is using Angiotensin-II-receptor antagonists at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v1_bblock,Whether the patient is using Beta-Blocker drugs at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v1_caant,Whether the patient is using Calcium channel antagonists at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v1_diuretic,Whether the patient is using diuretic drugs at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v1_lipid,Whether the patient is using Lipid reducing drug at baseline,"",choices,"",yes_no,"","","",""
